UMAP_1,UMAP_2,dataset_id,tissue_type,FracPixInImgBG,FracImgOfCells,Otsu:CD11c,Otsu:CD21,Otsu:CD4,Otsu:CD8,Otsu:Ki67,M/SD:CD11c,M/SD:CD21,M/SD:CD4,M/SD:CD8,M/SD:Ki67,meanInt:CD11c,meanInt:CD21,meanInt:CD4,meanInt:CD8,meanInt:Ki67
6.603244,14.068485,4852fecbbb3fe8fd8a4b897f26941dd9,lymph_nodes,0.3173877069008898,0.7007259164241791,17.037657637216984,5.556200381850516,8.797688954655392,12.027925811104158,12.14258430491263,0.4382113074178109,0.8452776687773547,0.6066956309491903,0.5466786183417163,0.5715971040766825,56503079,106021379,130766505,172650838,216547307
2.7293735,16.538181,1d76aa007c3237be32c14b3dcc0c902c,large_intestine,0.8190647514173836,0.3075442259533885,649.4170316400098,10542.216067073014,322.7318160627999,1473.2360090633067,190.42281981344172,0.0743718315559413,0.0230781118270639,0.1151455939609868,0.0506270836038927,0.1178136889101682,738453020,748361003,849676633,704031977,481326351
4.3896184,17.311943,c8c1e1be0530a2392325d1b6f2addeb4,small_intestine,0.6364172881620318,0.26190958779856693,71.75156842284953,481.17337763807694,49.341980329335584,91.8746725466846,147.94779524966353,0.2721533219749166,0.1046177094221156,0.2182624359189616,0.1700706901376724,0.1508244052408082,122931674,137057018,143942654,475200854,200860064
5.429505,15.16842,1393ff7729eff13cd2f4d5d58af96fdb,spleen,0.0593827294713077,0.8484566621224064,3347.297521020773,80.21179491166552,13.835912215001986,24.19895644329489,240.051990251799,0.1259907015814672,0.1809606760961148,0.4174067314660419,0.3418400767805048,0.1088460253536949,91560902,228503336,73300801,117820042,191499041
6.5139117,17.897343,bec226690f40f11d0516487ba4ad289f,thymus,0.6156210169139269,0.22171102684180446,983.2240686827322,7.340131439793661,14.722751659414,29.68594734682138,177.4978811102738,0.5053449845459729,0.5598924094699351,0.4808743794423596,0.311432028201231,0.1958930242109958,132443469,100271702,225502286,193374904,99138840
7.0190234,14.149638,f86b9efc87074bf03cd53932d8f1e76f,thymus,0.35596904029058674,0.5823018028907149,11.7448729058177,51.94133243260822,7.434822270248193,9.902307103939856,20.33049042236744,0.8840849644671277,0.703672809899808,0.9209741743976396,0.7888490076312082,0.589443251771221,164660741,163831899,179536137,167505474,155967585
6.3177223,17.383944,90592f3574af0400eaf06d8aabf08645,small_intestine,0.5668824456962749,0.15888848820108983,20.255844847688863,147.8538964427182,11.587667857836124,43.92962434009535,146.4132448523699,0.4054979421279633,0.2735350724559299,0.422335391148802,0.2680677061154479,0.2093724360965034,58137990,53141578,49857658,72329776,77013456
7.2379813,16.060923,3612aaf6926602e7d2d3ae7cdd7ab44d,large_intestine,0.34350063330250585,0.12207069330559842,8.002909529942993,5.469821809866897,5.390248134031016,240.71516252404112,236.14939386920008,0.5443331028679609,0.6979250641786326,0.7134952500446233,0.1403585249672725,0.1446767991984517,41028137,42647745,45328336,36592207,42813429
4.3424273,17.046879,8d2321ee4c215d6ecc0692284599a6dd,small_intestine,0.6293559144414397,0.17881963010893817,119.59424652868552,642.7273037307896,473.3813153675661,95.280231765233,210.6469820863408,0.2065416627404518,0.0825983084073308,0.1703599188405788,0.1647170575338292,0.1564056363216988,126904884,132211310,106618362,366388119,164859026
7.1138525,17.23512,29aa39f865ab861ebf4d5671de239d8e,large_intestine,0.5434751613758281,0.275119648055274,21.01847439874009,97.13283624257106,18.757564803165828,85.26881392721721,58.1925048566016,0.3523358632752187,0.2666181060375352,0.4321520682368139,0.2451759021492035,0.3839354390215483,135364824,99474007,100746714,112548389,92238871
6.7609425,17.137207,768b7adb649959b6a4e354867595032d,large_intestine,0.5425167406951065,0.275591863888165,20.96542638678524,97.17481937515896,18.94907215034661,85.26083222078248,58.15763265478937,0.3525076920208748,0.2664456882245613,0.4314106599745459,0.2451904465013177,0.3839172709179722,135797706,99463847,100625656,112632865,92318031
3.9997587,17.222652,32ce4bd723563584d07fe726809253bd,large_intestine,0.7618844468346526,0.1516448748218561,45.915434740664,243.1718534533648,51.43703217441334,372.3815372300685,188.61394060566792,0.2437813602327089,0.1170430104685222,0.2251546757208486,0.1093995883490346,0.1716003715516857,156910497,250772192,170304749,249905069,164962875
7.6638203,15.061347,ad1e17284c71a9629afd14badff6da62,large_intestine,0.25009627501250126,0.2799733025410721,20.563398088793377,4.684565897635657,5.302673970404006,7.802820138350264,30.279786940105417,0.3802657289827091,0.8346930956424782,0.8678583166961858,0.7247268069459656,0.4700567855859929,63706003,52049568,50066796,50734027,55613689
6.339559,13.793452,4df8eb42549d6954d0b98b18cb92d9b6,lymph_nodes,0.44784508212150653,0.5848130983892023,24.478976141580425,8.969425836246737,12.357472350275984,18.90842583402377,15.614833278496974,0.3991838308728025,0.6324757887148881,0.4902118162749738,0.4057093396812509,0.4626782313822454,51280442,121489277,136783600,189335995,229133243
4.9743147,15.8198595,4c0479bd703d8be3c2834dd1b6773b4c,spleen,0.5109786394182012,0.4941563466783482,50.635057413606845,30.91863053624257,100.1777825927056,30.935284947066627,50.11359681871129,0.2810959131953208,0.2323085195362182,0.1602447121957929,0.3501622879568205,0.2457143664135538,118439956,114993572,211302267,191916560,119981966
5.975915,13.868665,bdcaa8d710bfb837dc2982c1cc4f67c8,lymph_nodes,0.298205576553005,0.6343391752040308,53.08740420200819,8.570737077080718,22.074860437333484,14.85718579778383,13.003118850932044,0.2740385818812392,0.6525514507163643,0.3503097728353668,0.4591602236689922,0.5092935364219751,76572310,224729595,166384822,272971359,394022664
5.021873,14.57876,03043e079260d180099579045f16cd53,spleen,0.467114973163548,0.8754581598107234,89.96724222411319,18.68779115951785,56.43298749794024,21.561028266977804,45.248686658513215,0.1778101954161521,0.3935330038650604,0.2376118293840696,0.4091769888349588,0.2910462406148502,113208117,104381303,330001491,81830297,445251342
6.60024,16.465273,9fec34311ea03c4a5c221e65b1d881ba,small_intestine,0.446234851554925,0.32852138301209216,30.429707762822023,79.34130007744488,9.246151985345954,27.12426661847146,99.63921203027068,0.3561013769078497,0.2609123308918306,0.5344164757085972,0.3179893485464233,0.2480882024109442,71012273,77434629,66152335,105905177,62391488
5.67587,14.734626,00d1a3623dac388773bc7780fcb42797,spleen,0.06861254575974732,0.8104242571909381,33.662552556458834,97.36314626210512,12.84826974494274,29.314089776765204,164.61692591380017,0.2520796892428993,0.2016074560899156,0.4734195796889694,0.3969336610995395,0.1299513251883531,90241969,141110254,93077564,99769191,202171202
6.21561,14.840706,2b57ac6fea7aa96d26d2685a297a4e7a,spleen,0.029453970441540925,0.843905612954912,7.809600152334713,88.71653138952892,7.8414762736269905,14.544966169603,158.0513705296509,0.5826412308290775,0.4407774798511354,0.6614192568768252,0.5820550712472187,0.1635645358981869,111680675,154029236,101729831,98815989,123714442
